總計,汽車,大客車,大貨車,小客車,小貨車,特種車,機車
92年底,"331,251","115,276",798,"2,561","100,564","10,297","1,056","215,975"
92年 1月底,"324,413","111,113",794,"2,530","96,712","10,044","1,033","213,300"
92年 2月底,"323,971","111,679",795,"2,537","97,249","10,056","1,042","212,292"
92年 3月底,"323,609","111,587",775,"2,530","97,172","10,061","1,049","212,022"
92年 4月底,"323,196","111,848",780,"2,532","97,417","10,074","1,045","211,348"
92年 5月底,"323,634","112,323",785,"2,526","97,820","10,144","1,048","211,311"
92年 6月底,"324,156","112,644",772,"2,549","98,122","10,154","1,047","211,512"
92年 7月底,"325,263","113,082",780,"2,553","98,514","10,185","1,050","212,181"
92年 8月底,"326,246","113,316",773,"2,560","98,802","10,129","1,052","212,930"
92年 9月底,"329,071","113,594",775,"2,550","99,062","10,152","1,055","215,477"
92年 10月底,"329,763","114,337",782,"2,555","99,718","10,227","1,055","215,426"
92年 11月底,"329,307","114,936",788,"2,568","100,248","10,271","1,061","214,371"
92年 12月底,"331,251","115,276",798,"2,561","100,564","10,297","1,056","215,975"
93年底,"344,851","121,849",806,"2,653","106,482","10,828","1,080","223,002"
93年 1月底,"332,089","115,856",812,"2,563","101,054","10,349","1,078","216,233"
93年 2月底,"331,977","116,647",803,"2,578","101,806","10,385","1,075","215,330"
93年 3月底,"332,573","116,894",800,"2,555","102,075","10,384","1,080","215,679"
93年 4月底,"333,919","117,485",803,"2,570","102,563","10,471","1,078","216,434"
93年 5月底,"334,963","118,080",807,"2,576","103,119","10,501","1,077","216,883"
93年 6月底,"336,021","118,525",805,"2,579","103,511","10,551","1,079","217,496"
93年 7月底,"339,721","120,084",806,"2,617","104,878","10,692","1,091","219,637"
93年 8月底,"339,546","120,449",803,"2,643","105,224","10,699","1,080","219,097"
93年 9月底,"340,458","120,758",796,"2,659","105,480","10,732","1,091","219,700"
93年 10月底,"343,208","121,146",796,"2,656","105,837","10,764","1,093","222,062"
93年 11月底,"344,054","121,689",812,"2,650","106,325","10,815","1,087","222,365"
93年 12月底,"344,851","121,849",806,"2,653","106,482","10,828","1,080","223,002"
94年底,"356,587","126,443",782,"2,629","110,865","11,097","1,070","230,144"
94年 1月底,"346,092","122,681",807,"2,657","107,262","10,865","1,090","223,411"
94年 2月底,"346,313","122,540",808,"2,647","107,164","10,832","1,089","223,773"
94年 3月底,"346,855","122,472",807,"2,618","107,185","10,775","1,087","224,383"
94年 4月底,"347,701","122,999",814,"2,610","107,617","10,890","1,068","224,702"
94年 5月底,"348,670","123,448",810,"2,615","108,011","10,942","1,070","225,222"
94年 6月底,"349,845","123,891",818,"2,612","108,441","10,946","1,074","225,954"
94年 7月底,"351,132","124,588",806,"2,618","109,118","10,969","1,077","226,544"
94年 8月底,"352,209","124,833",802,"2,606","109,351","11,012","1,062","227,376"
94年 9月底,"353,997","125,293",799,"2,613","109,766","11,056","1,059","228,704"
94年 10月底,"354,849","125,499",798,"2,615","109,954","11,072","1,060","229,350"
94年 11月底,"355,537","125,841",790,"2,606","110,270","11,102","1,073","229,696"
94年 12月底,"356,587","126,443",782,"2,629","110,865","11,097","1,070","230,144"
95年底,"363,824","128,275",781,"2,668","112,514","11,241","1,071","235,549"
95年 1月底,"357,493","126,901",784,"2,635","111,311","11,102","1,069","230,592"
95年 2月底,"357,897","126,810",809,"2,627","111,209","11,094","1,071","231,087"
95年 3月底,"358,065","126,812",800,"2,646","111,194","11,109","1,063","231,253"
95年 4月底,"358,491","127,018",803,"2,646","111,387","11,122","1,060","231,473"
95年 5月底,"359,233","127,372",802,"2,636","111,695","11,172","1,067","231,861"
95年 6月底,"359,579","127,393",782,"2,638","111,727","11,173","1,073","232,186"
95年 7月底,"360,352","127,698",789,"2,645","111,996","11,200","1,068","232,654"
95年 8月底,"360,583","127,530",780,"2,647","111,865","11,175","1,063","233,053"
95年 9月底,"362,024","127,859",776,"2,659","112,156","11,204","1,064","234,165"
95年 10月底,"362,608","127,929",779,"2,663","112,204","11,216","1,067","234,679"
95年 11月底,"363,294","128,119",770,"2,657","112,387","11,238","1,067","235,175"
95年 12月底,"363,824","128,275",781,"2,668","112,514","11,241","1,071","235,549"
96年底,"373,977","130,193",786,"2,701","114,327","11,318","1,061","243,784"
96年 1月底,"364,764","128,683",777,"2,671","112,860","11,302","1,073","236,081"
96年 2月底,"365,186","128,716",778,"2,669","112,879","11,322","1,068","236,470"
96年 3月底,"366,105","128,850",781,"2,669","113,013","11,331","1,056","237,255"
96年 4月底,"366,497","128,874",773,"2,664","113,059","11,329","1,049","237,623"
96年 5月底,"367,128","128,936",768,"2,696","113,087","11,324","1,061","238,192"
96年 6月底,"368,034","129,208",769,"2,717","113,314","11,337","1,071","238,826"
96年 7月底,"369,582","129,525",775,"2,713","113,647","11,337","1,053","240,057"
96年 8月底,"370,786","129,621",771,"2,713","113,745","11,339","1,053","241,165"
96年 9月底,"372,329","129,862",782,"2,698","113,987","11,342","1,053","242,467"
96年 10月底,"372,888","129,799",780,"2,693","113,950","11,321","1,055","243,089"
96年 11月底,"373,554","130,067",792,"2,696","114,172","11,346","1,061","243,487"
96年 12月底,"373,977","130,193",786,"2,701","114,327","11,318","1,061","243,784"
97年底,"384,019","128,454",774,"2,642","112,911","11,066","1,061","255,565"
97年 1月底,"374,841","130,463",791,"2,680","114,588","11,345","1,059","244,378"
97年 2月底,"375,322","130,396",792,"2,675","114,534","11,338","1,057","244,926"
97年 3月底,"376,450","130,211",781,"2,670","114,390","11,316","1,054","246,239"
97年 4月底,"377,313","130,077",784,"2,668","114,277","11,293","1,055","247,236"
97年 5月底,"377,610","129,309",796,"2,675","113,592","11,186","1,060","248,301"
97年 6月底,"378,574","129,326",786,"2,695","113,573","11,189","1,083","249,248"
97年 7月底,"379,738","129,379",777,"2,689","113,593","11,238","1,082","250,359"
97年 8月底,"380,266","129,175",776,"2,691","113,384","11,242","1,082","251,091"
97年 9月底,"381,797","129,025",783,"2,681","113,238","11,234","1,089","252,772"
97年 10月底,"382,761","128,736",787,"2,673","113,070","11,147","1,059","254,025"
97年 11月底,"383,367","128,611",784,"2,670","112,990","11,107","1,060","254,756"
97年 12月底,"384,019","128,454",774,"2,642","112,911","11,066","1,061","255,565"
98年底,"392,140","129,802",773,"2,423","114,352","11,227","1,027","262,338"
98年 1月底,"383,872","128,509",767,"2,618","113,001","11,066","1,057","255,363"
98年 2月底,"383,852","128,412",766,"2,612","112,946","11,045","1,043","255,440"
98年 3月底,"383,796","128,398",751,"2,605","112,952","11,056","1,034","255,398"
98年 4月底,"383,854","128,230",745,"2,589","112,855","11,013","1,028","255,624"
98年 5月底,"383,906","128,354",740,"2,569","112,973","11,041","1,031","255,552"
98年 6月底,"383,710","128,447",742,"2,451","113,168","11,053","1,033","255,263"
